genNum	maxFit	avgFit	bestPhrase
859	0.90909	0.86591	HelKo world
860	0.90909	0.86455	HelKo world
861	0.90909	0.84773	HelKo world
862	0.90909	0.89091	HelKo world
863	0.90909	0.81955	HelKo world
864	0.90909	0.85364	HelKo world
865	0.90909	0.85	HelKo world
866	0.90909	0.86273	HelKo world
867	0.90909	0.85909	Helqo world
868	0.90909	0.86227	HelKo world
869	0.90909	0.83727	HelKo world
870	0.90909	0.86273	HelKo world
871	0.90909	0.86727	HelKo world
872	0.90909	0.86591	HelKo world
873	0.90909	0.86545	HelKo world
874	0.90909	0.86818	HelKo world
875	0.90909	0.87409	HelKo world
876	0.90909	0.87545	HelKo world
877	0.90909	0.87318	HelKo world
878	0.90909	0.87136	HelKo world
879	0.90909	0.87045	HelKo world
880	0.90909	0.84591	HelKo world
881	0.90909	0.80227	HelKo world
882	0.90909	0.87227	Helqo world
883	0.90909	0.84091	HelKo world
